UserID,YOB,Age,Gender,Income,HouseholdStatus,EducationLevel,Party,Happy,votes,Q122771,Q120472,Q120194,Q119650,Q118232,Q117186,Q117193,Q116881,Q116197,Q115777,Q115899,Q114386,Q113583,Q113584,Q111580,Q110740,Q108950,Q108855,Q108342,Q106997,Q102089,Q108856,Q101162,Q101163,Q99982,Q98059,Q122769,Q118233,Q118237,Q122770,Q124742,Q116797,Q122120,Q116953,Q116601,Q116441,Q116448,Q121699,Q115602,Q121700,Q115610,Q115611,Q120978,Q115390,Q114961,Q114748,Q115195,Q114517,Q121011,Q113992,Q114152,Q120379,Q120650,Q113181,Q112478,Q112512,Q112270,Q111848,Q124122,Q111220,Q123464,Q109367,Q120012,Q109244,Q120014,Q108617,Q119851,Q108754,Q119334,Q108343,Q107869,Q107491,Q106993,Q123621,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q118892,Q118117,Q101596,Q100689,Q100680,Q100562,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98078,Q98197,Q96024
1314,1955,59,Female,"over $150,000",Married (w/kids),Bachelor's Degree,Independent,1,77,Public,Science,Try first,Receiving,Idealist,Cool headed,Odd hours,Happy,A.M.,End,Me,TMI,Tunes,Technology,Demanding,PC,Cautious,Yes!,In-person,Yay people!,Own,Socialize,Optimist,Mom,Nope,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
1316,1964,50,Female,"$100,001 - $150,000",Married (w/kids),Associate's Degree,Republican,1,91,Public,Science,Study first,Receiving,Pragmatist,Cool headed,Odd hours,Happy,A.M.,Start,Circumstances,TMI,Tunes,Technology,Supportive,PC,Risk-friendly,Yes!,Online,Yay people!,Own,Space,Pessimist,Mom,Check!,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No
1317,1966,48,Male,"over $150,000",Married (w/kids),Doctoral Degree,Democrat,1,86,Public,Science,Study first,Giving,Idealist,Cool headed,Odd hours,Happy,P.M.,Start,Circumstances,Mysterious,Talk,Technology,Supportive,PC,Risk-friendly,Yes!,Online,Grrr people,Own,Space,Optimist,Dad,Check!,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
1318,1994,20,Male,"$50,000 - $74,999",Single (no kids),Current Undergraduate,Republican,1,74,Public,Art,Study first,Giving,Idealist,Cool headed,Odd hours,Happy,P.M.,Start,Me,Mysterious,Tunes,Technology,Supportive,Mac,Risk-friendly,Yes!,In-person,Grrr people,Rent,Socialize,Optimist,Dad,Nope,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No
1319,1970,44,Male,"over $150,000",Married (w/kids),Master's Degree,Republican,1,99,Public,Science,Study first,Giving,Pragmatist,Cool headed,Odd hours,Happy,A.M.,End,Me,Mysterious,Tunes,People,Supportive,PC,Cautious,Yes!,Online,Grrr people,Own,Space,Optimist,Dad,Check!,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
1321,1985,29,Male,"under $25,000",Single (no kids),Associate's Degree,Independent,1,60,Public,Science,Study first,Giving,Idealist,Cool headed,Standard hours,Happy,P.M.,End,Circumstances,TMI,Tunes,People,Supportive,PC,Cautious,Umm...,Online,Yay people!,Rent,Space,Pessimist,Dad,Check!,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes
1322,1977,37,Female,"$50,000 - $74,999",Married (w/kids),Master's Degree,Independent,1,97,Private,Science,Study first,Receiving,Idealist,Hot headed,Odd hours,Happy,P.M.,Start,Me,TMI,Talk,People,Supportive,Mac,Cautious,Yes!,Online,Grrr people,Own,Socialize,Optimist,Mom,Check!,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes
1323,1974.412969,39.5870305,Male,"$75,000 - $100,000",Single (no kids),Current K-12,Republican,1,86,Private,Science,Study first,Giving,Idealist,Cool headed,Standard hours,Happy,P.M.,Start,Me,Mysterious,Tunes,People,Supportive,Mac,Cautious,Yes!,In-person,Yay people!,Rent,Socialize,Optimist,Dad,Nope,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes
1325,1984,30,Female,"over $150,000",Single (no kids),Bachelor's Degree,Other,0,95,Public,Art,Study first,Giving,Idealist,Cool headed,Standard hours,Happy,A.M.,End,Me,Mysterious,Tunes,Technology,Supportive,Mac,Risk-friendly,Yes!,Online,Yay people!,Rent,Space,Optimist,Mom,Check!,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No
1327,1978,36,Female,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Independent,1,89,Private,Science,Study first,Giving,Pragmatist,Cool headed,Standard hours,Happy,P.M.,Start,Me,Mysterious,Tunes,People,Supportive,PC,Cautious,Yes!,In-person,Grrr people,Own,Socialize,Optimist,Mom,Nope,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
1328,1986,28,Male,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Libertarian,0,100,Public,Science,Study first,Giving,Pragmatist,Cool headed,Odd hours,Right,P.M.,Start,Me,Mysterious,Talk,Technology,Supportive,PC,Risk-friendly,Umm...,In-person,Grrr people,Rent,Space,Pessimist,Dad,Nope,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
1329,1955,59,Female,"$75,000 - $100,000",Married (w/kids),Master's Degree,Independent,0,63,Private,Art,Study first,Giving,Pragmatist,Cool headed,Standard hours,Happy,A.M.,End,Circumstances,Mysterious,Talk,People,Supportive,Mac,Cautious,Yes!,In-person,Yay people!,Own,Space,Optimist,Mom,Check!,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
1331,1992,22,Male,"$25,001 - $50,000",Single (no kids),High School Diploma,Democrat,0,70,Public,Art,Study first,Receiving,Idealist,Hot headed,Standard hours,Happy,P.M.,Start,Me,Mysterious,Tunes,Technology,Supportive,PC,Cautious,Yes!,In-person,Grrr people,Rent,Space,Optimist,Dad,Nope,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No
1332,1963,51,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Independent,1,100,Public,Science,Study first,Giving,Pragmatist,Cool headed,Odd hours,Happy,A.M.,Start,Me,Mysterious,Tunes,Technology,Demanding,Mac,Risk-friendly,Yes!,In-person,Grrr people,Own,Socialize,Pessimist,Dad,Check!,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
1333,1995,19,Male,"$100,001 - $150,000",Single (no kids),Current K-12,Independent,1,101,Public,Science,Study first,Receiving,Idealist,Cool headed,Standard hours,Happy,P.M.,Start,Circumstances,Mysterious,Tunes,People,Supportive,Mac,Cautious,Umm...,In-person,Grrr people,Rent,Space,Optimist,Dad,Nope,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
1334,1951,63,Female,"$75,000 - $100,000",Single (w/kids),High School Diploma,Independent,0,101,Public,Art,Study first,Giving,Pragmatist,Cool headed,Odd hours,Happy,P.M.,Start,Circumstances,Mysterious,Tunes,Technology,Demanding,PC,Cautious,Yes!,Online,Grrr people,Own,Space,Pessimist,Dad,Check!,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
1336,1962,52,Male,"$25,001 - $50,000",Married (no kids),Bachelor's Degree,Independent,0,84,Public,Science,Study first,Giving,Idealist,Hot headed,Standard hours,Happy,P.M.,End,Circumstances,Mysterious,Tunes,Technology,Supportive,PC,Risk-friendly,Yes!,Online,Grrr people,Own,Space,Pessimist,Dad,Nope,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
1338,1992,22,Male,"under $25,000",Single (no kids),Current Undergraduate,Republican,0,44,Private,Science,Try first,Giving,Idealist,Cool headed,Odd hours,Happy,P.M.,End,Circumstances,TMI,Tunes,People,Supportive,PC,Cautious,Umm...,Online,Yay people!,Rent,Space,Optimist,Dad,Nope,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
1340,1958,56,Female,"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Democrat,0,29,Public,Art,Study first,Giving,Pragmatist,Cool headed,Standard hours,Happy,A.M.,End,Circumstances,Mysterious,Tunes,People,Demanding,Mac,Cautious,Yes!,In-person,Grrr people,Own,Space,Optimist,Mom,Check!,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
1341,1977,37,Male,"$50,000 - $74,999",Married (w/kids),High School Diploma,Independent,0,100,Public,Science,Try first,Giving,Pragmatist,Hot headed,Odd hours,Happy,A.M.,Start,Me,TMI,Tunes,Technology,Demanding,PC,Cautious,Yes!,Online,Grrr people,Own,Socialize,Pessimist,Mom,Nope,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No
1342,1987,27,Male,"$50,000 - $74,999",Married (w/kids),Master's Degree,Independent,1,101,Private,Science,Try first,Giving,Idealist,Cool headed,Odd hours,Happy,A.M.,End,Circumstances,Mysterious,Tunes,People,Supportive,Mac,Risk-friendly,Yes!,In-person,Yay people!,Own,Socialize,Optimist,Dad,Check!,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
1344,1994,20,Male,"under $25,000",Single (no kids),Current Undergraduate,Libertarian,0,101,Public,Science,Study first,Giving,Idealist,Hot headed,Standard hours,Happy,P.M.,Start,Circumstances,Mysterious,Tunes,Technology,Supportive,PC,Cautious,Yes!,In-person,Yay people!,Own,Space,Optimist,Dad,Nope,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
1346,1979,35,Female,"$100,001 - $150,000",Married (w/kids),High School Diploma,Democrat,1,101,Public,Science,Study first,Giving,Pragmatist,Hot headed,Odd hours,Happy,P.M.,Start,Me,TMI,Tunes,Technology,Supportive,Mac,Cautious,Yes!,Online,Grrr people,Own,Space,Pessimist,Dad,Nope,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
1347,1989,25,Female,"$100,001 - $150,000",Single (no kids),Bachelor's Degree,Independent,0,90,Public,Science,Study first,Giving,Pragmatist,Hot headed,Standard hours,Happy,A.M.,End,Circumstances,TMI,Tunes,People,Supportive,Mac,Risk-friendly,Yes!,Online,Yay people!,Rent,Socialize,Optimist,Mom,Check!,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes
1349,1989,25,Male,"over $150,000",Married (no kids),Master's Degree,Democrat,1,27,Private,Science,Try first,Receiving,Idealist,Hot headed,Standard hours,Happy,A.M.,Start,Me,TMI,Talk,Technology,Supportive,Mac,Risk-friendly,Yes!,In-person,Yay people!,Rent,Socialize,Optimist,Mom,Check!,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
1351,1989,25,Male,"under $25,000",Domestic Partners (no kids),Master's Degree,Democrat,0,99,Public,Science,Study first,Receiving,Idealist,Hot headed,Standard hours,Right,A.M.,Start,Me,TMI,Tunes,Technology,Demanding,Mac,Cautious,Yes!,In-person,Grrr people,Rent,Space,Pessimist,Mom,Nope,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
1352,1957,57,Male,"over $150,000",Married (w/kids),Master's Degree,Other,1,100,Private,Art,Try first,Receiving,Pragmatist,Hot headed,Standard hours,Happy,A.M.,End,Circumstances,Mysterious,Talk,People,Supportive,PC,Cautious,Yes!,In-person,Yay people!,Own,Space,Optimist,Dad,Check!,Only-child,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
1353,1993,21,Female,"under $25,000",Single (no kids),Current Undergraduate,Democrat,1,23,Public,Art,Study first,Giving,Pragmatist,Hot headed,Odd hours,Happy,P.M.,End,Me,TMI,Talk,Technology,Supportive,Mac,Cautious,Yes!,In-person,Yay people!,Rent,Socialize,Optimist,Mom,Check!,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
1354,1968,46,Male,"$50,000 - $74,999",Married (w/kids),High School Diploma,Libertarian,1,101,Public,Science,Study first,Giving,Pragmatist,Hot headed,Standard hours,Happy,A.M.,End,Me,Mysterious,Talk,Technology,Supportive,PC,Risk-friendly,Umm...,In-person,Grrr people,Own,Space,Optimist,Dad,Check!,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No
1358,1992,22,Female,"$25,001 - $50,000",Single (no kids),Associate's Degree,Republican,0,100,Public,Science,Study first,Giving,Idealist,Cool headed,Odd hours,Happy,P.M.,Start,Me,Mysterious,Tunes,People,Supportive,Mac,Cautious,Umm...,In-person,Grrr people,Own,Space,Optimist,Dad,Nope,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No
1359,1988,26,Male,"$25,001 - $50,000",Married (w/kids),Bachelor's Degree,Independent,0,76,Public,Art,Try first,Giving,Pragmatist,Cool headed,Standard hours,Right,A.M.,Start,Me,TMI,Tunes,Technology,Supportive,Mac,Cautious,Yes!,In-person,Yay people!,Rent,Socialize,Pessimist,Dad,Check!,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
1360,1964,50,Male,"$25,001 - $50,000",Single (no kids),High School Diploma,Democrat,0,79,Public,Science,Study first,Giving,Pragmatist,Cool headed,Odd hours,Right,P.M.,End,Me,Mysterious,Tunes,People,Supportive,PC,Cautious,Umm...,Online,Grrr people,Rent,Space,Pessimist,Mom,Check!,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes
1361,1949,65,Female,"$50,000 - $74,999",Married (w/kids),Master's Degree,Republican,1,74,Public,Science,Study first,Giving,Pragmatist,Cool headed,Odd hours,Right,P.M.,End,Me,Mysterious,Tunes,Technology,Supportive,PC,Cautious,Yes!,Online,Yay people!,Own,Socialize,Optimist,Mom,Nope,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No
1362,1955,59,Male,"under $25,000",Single (no kids),Bachelor's Degree,Independent,0,101,Public,Science,Study first,Giving,Pragmatist,Hot headed,Odd hours,Happy,P.M.,Start,Circumstances,TMI,Tunes,Technology,Supportive,PC,Risk-friendly,Umm...,Online,Yay people!,Own,Space,Pessimist,Dad,Nope,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes
